#Parameters = {L=80; L2=36.5; W=40; W2=20; a=0.628; b=2.1; feed=8; h=3.175; t=0.1; y0=13}
#"Frequency / GHz"	"S1,1 (y0=13) [Magnitude]"
#--------------------------------------------
2.0947999954224	-0.37023798241661
2.0954000949860	-0.37174985807086
2.0959999561310	-0.37329780586617
2.0966000556946	-0.37488288875048
2.0971999168396	-0.37650280421753
2.0978000164032	-0.37815860595605
2.0984001159668	-0.37984818579897
2.0989999771118	-0.38157317928823
2.0996000766754	-0.38333063627250
2.1001999378204	-0.38512182850419
2.1008000373840	-0.38694523998734
2.1013998985291	-0.38880036780246
2.1019999980927	-0.39068732741112
2.1026000976562	-0.39260494328949
2.1031999588013	-0.39455290240060
2.1038000583649	-0.39652900208112
2.1043999195099	-0.39853457488829
2.1050000190735	-0.40056854834818
2.1056001186371	-0.40262923306928
2.1061999797821	-0.40471676720643
2.1068000793457	-0.40683014557666
2.1073999404907	-0.40896884556587
2.1080000400543	-0.41113197954847
2.1085999011993	-0.41331833681571
