#Parameters = {L=80; L2=36.5; W=40; W2=20; a=0.628; b=2.1; feed=8; h=3.175; t=0.1; y0=13}
#""	"S1,1 (y0=13) [Mag]"	"S1,1 (y0=13) [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#----------------------------------------------------------------------------------------------
2.0413999557495	0.96045610988405	78.997389612231	50.209741149544	0.0000000000000
2.0420000553131	0.96043993495832	78.939400870130	50.209741149544	0.0000000000000
2.0425999164581	0.96042779274847	78.881111681971	50.209741149544	0.0000000000000
2.0432000160217	0.96041975704472	78.822523400975	50.209741149544	0.0000000000000
2.0438001155853	0.96041539832592	78.763606061523	50.209741149544	0.0000000000000
2.0443999767303	0.96041468396015	78.704375094751	50.209741149544	0.0000000000000
2.0450000762939	0.96041750186195	78.644815067142	50.209741149544	0.0000000000000
2.0455999374390	0.96042360364084	78.584915214893	50.209741149544	0.0000000000000
2.0462000370026	0.96043274595714	78.524699237023	50.209741149544	0.0000000000000
2.0467998981476	0.96044489549112	78.464128935157	50.209741149544	0.0000000000000
