theta,"TF dB (d=0.5, beta=0)","TF dB (d=0.5, beta=90)","TF dB (d=1.0, beta=0)","TF dB (d=1.0, beta=90)"
0.3656734212376537,-30.63005477807213,-26.95725915070132,-11.714986355369684,-19.77879765462371
0.36881715762763345,-30.414593105570194,-26.75588683591498,-11.673453895160478,-19.54495476852631
0.37196089401761323,-30.201220527689422,-26.55670093675141,-11.633476001179693,-19.313235627472743
0.375104630407593,-29.989908540990122,-26.359672521398565,-11.59506139988187,-19.083615693617727
0.3782483667975728,-29.780629472806922,-26.16477349120746,-11.558219460261634,-18.856071264905204
0.38139210318755257,-29.573356455135617,-25.971976554679365,-11.522960197387773,-18.63057944873586
0.38453583957753235,-29.368063399616492,-25.781255202548977,-11.48929427689187,-18.40711813674127
0.3876795759675121,-29.164724973561423,-25.592583683910295,-11.457233020426099,-18.185665980611706
0.39082331235749185,-28.96331657697466,-25.40593698333593,-11.426788412107843,-17.966202368927714
0.3939670487474716,-28.763814320521366,-25.221290798943357,-11.397973105972284,-17.74870740494952
0.3971107851374514,-28.566195004398605,-25.038621521362803,-11.370800434456827,-17.533161885318535
0.4002545215274312,-28.37043609806829,-24.857906213566658,-11.345284417945656,-17.319547279631017
0.40339825791741096,-28.176515720811324,-24.679122591519082,-11.321439775405103,-17.107845710842472
0.40654199430739074,-27.984412623067154,-24.50224900561046,-11.299281936145642,-16.898039936467434
0.4096857306973705,-27.79410616852212,-24.327264422840265,-11.278827052749156,-16.69011333053801
0.4128294670873503,-27.605576316914423,-24.15414840971515,-11.260092015205064,-16.484049866288228
0.4159732034773301,-27.418803607523795,-23.982881115831802,-11.243094466303203,-16.279834099533367
0.4191169398673098,-27.23376914331578,-23.813443258113264,-11.227852818335904,-16.07745115271321
0.4222606762572896,-27.050454575713303,-23.645816105671877,-11.214386271167102,-15.876886699572117
0.42540441264726936,-26.86884208996802,-23.479981465271337,-11.202714831731598,-15.678126950448569
0.42854814903724914,-26.68891439110647,-23.31592166736314,-11.19285933503334,-15.481158638149013
0.4316918854272289,-26.51065469042731,-23.15361955267289,-11.18484146671795,-15.285969004382123
0.4348356218172087,-26.33404669252661,-22.993058459314618,-11.178683787301505,-15.092545786730625
0.4379793582071885,-26.15907458283025,-22.83422221041072,-11.174409758144687,-14.900877206139311
0.44112309459716825,-25.985723015612177,-22.677095102198052,-11.1720437692694,-14.710951954898679
0.44426683098714803,-25.81397710248033,-22.521661892600065,-11.171611169123317,-14.522759185104945
0.4474105673771278,-25.643822401310974,-22.367907790247337,-11.173138296407291,-14.336288497577973
0.45055430376710753,-25.47524490561468,-22.215818443928875,-11.176652514090293,-14.151529931219963
0.4536980401570873,-25.30823103431718,-22.065379932457635,-11.18218224574761,-13.968473952798101
0.4568417765470671,-25.142767621939946,-21.91657875493494,-11.189757014369864,-13.787111447135716
0.45998551293704687,-24.978841909164863,-21.769401821398837,-11.199407483803554,-13.607433707697059
0.46312924932702665,-24.816441533770075,-21.62383644384242,-11.211165502997618,-13.429432427551582
0.4662729857170064,-24.655554521922486,-21.47987032758873,-11.225064153246526,-13.253099690704392
0.4694167221069862,-24.4961692798155,-21.337491563009785,-11.241137798637002,-13.078427963780236
0.472560458496966,-24.338274585639127,-21.196688617577728,-11.259422139924558,-12.905410088049113
0.47570419488694576,-24.181859581871457,-21.0574503282367,-11.279954272086176,-12.734039271781782
0.47884793127692554,-24.026913767880863,-20.919765894084662,-11.302772745818375,-12.564309082924838
0.48199166766690527,-23.873426992828612,-20.783624869355375,-11.327917633274813,-12.396213442084868
0.48513540405688504,-23.72138944886217,-20.64901715669025,-11.355430598364848,-12.229746615811987
0.4882791404468648,-23.57079166459027,-20.515933000691604,-11.385354971965306,-12.064903210173782
0.4914228768368446,-23.42162449883115,-20.384362981748353,-11.417735832431024,-11.901678164610912
0.4945666132268244,-23.27387913462519,-20.254298010125986,-11.45262009182738,-11.740066746065903
0.49771034961680416,-23.127547073505262,-20.12572932031333,-11.490056588349304,-11.580064543378088
0.5008540860067839,-22.98262013001665,-19.998648465618565,-11.53009618543736,-11.421667461936462
0.5039978223967637,-22.83909042647991,-19.873047313007884,-11.572791878153229,-11.264871718584367
0.5071415587867435,-22.69695038799059,-19.748918038180307,-11.618198907433527,-11.109673836769199
0.5102852951767233,-22.556192737648956,-19.62625312087224,-11.666374882905599,-10.956070641930761
0.513429031566703,-22.416810492014786,-19.505045340386722,-11.717379915020006,-10.804059257123114
0.5165727679566828,-22.278796956781513,-19.385287771341318,-11.771276757334913,-10.653637098864102
0.5197165043466626,-22.142145722664466,-19.266973779630256,-11.828130959877797,-10.504801873207683
0.5228602407366424,-22.006850661499012,-19.15009701859563,-11.888011034610805,-10.357551572034398
0.5260039771266222,-21.87290592254395,-19.034651425403833,-11.95098863414076,-10.211884469555589
0.5291477135166018,-21.740305928986125,-18.920631217622685,-12.017138744943257,-10.067799119027313
0.5322914499065816,-21.609045374642548,-18.80803088999595,-12.086539896516289,-9.925294349670288
0.5354351862965614,-21.479119220856617,-18.696845211411564,-12.159274388043691,-9.784369263792227
0.5385789226865412,-21.35052269358522,-18.58706922206053,-12.235428534336421,-9.645023234109804
0.541722659076521,-21.22325128067397,-18.478698230783753,-12.315092933032588,-9.507255901267076
0.5448663954665007,-21.09730072931765,-18.37172781260383,-12.398362755280663,-9.371067171547722
0.5480101318564805,-20.972667043704128,-18.266153806440148,-12.485338062407623,-9.236457214779403
0.5511538682464603,-20.84934648283912,-18.161972313004622,-12.576124151392417,-9.10342646242736
0.5542976046364401,-20.727335558550184,-18.059179692876675,-12.6708319323299,-8.971975605876235
0.5574413410264198,-20.606631033668883,-17.957772564756112,-12.769578341490714,-8.84210559489842
0.5605850774163996,-20.48722992038897,-17.85774780389201,-12.872486794067546,-8.71381763630738
0.5637288138063794,-20.369129478800552,-17.759102540687515,-12.979687681258499,-8.587113192795668
0.5668725501963592,-20.252327215598807,-17.66183415947918,-13.091318916988893,-8.461993981956415
0.570016286586339,-20.136820882967086,-17.565940297490656,-13.207526540328836,-8.33846197548808
0.5731600229763187,-20.022608477634254,-17.47141884396061,-13.328465380546051,-8.216519398582417
0.5763037593662985,-19.90968824010604,-17.378267939444825,-13.454299792765507,-8.096168729495641
0.5794474957562783,-19.798058654070974,-17.28648597529284,-13.585204473418568,-7.977412699303239
0.5825912321462581,-19.68771844598143,-17.196071593299816,-13.721365366090382,-7.8602542918391105
0.5857349685362379,-19.57866658481057,-17.10702368553447,-13.862980670059795,-7.744696743820031
0.5888787049262176,-19.47090228198633,-17.019341394344252,-14.010261965823725,-7.630743545156618
0.5920224413161973,-19.364424991503956,-16.93302411253918,-14.163435474276353,-7.518398439452252
0.5951661777061771,-19.259234410218713,-16.848071483756105,-14.322743469054792,-7.407665424692036
0.5983099140961569,-19.15533047832066,-16.764483403005393,-14.488445864971869,-7.298548754123458
0.6014536504861366,-19.05271337999418,-16.68226001740243,-14.660822009563164,-7.191052937331768
0.6045973868761164,-18.9513835442642,-16.601401727086373,-14.84017270974628,-7.0851827415121305
0.6077411232660962,-18.851341646032814,-16.521909186329534,-15.026822531632401,-6.980943192942359
0.610884859656076,-18.75258860730884,-16.443783304840093,-15.221122418914444,-6.878339578658914
0.6140285960460558,-18.655125598634495,-16.367025249262333,-15.423452684324,-6.77737744834051
0.6171723324360355,-18.558954040712702,-16.291636444878048,-15.63422643984789,-6.678062616403116
0.6203160688260153,-18.464075606239614,-16.217618577513544,-15.853893545302924,-6.5804011643108815
0.6234598052159951,-18.370492221946936,-16.144973595657053,-16.08294517224694,-6.484399443108043
0.6266035416059749,-18.2782060708592,-16.073703712791595,-16.32191910205924,-6.390064076176895
0.6297472779959546,-18.187219594771452,-16.003811409948895,-16.571405904696412,-6.297401962227651
0.6328910143859344,-18.09753549695343,-15.935299438490393,-16.832056179921388,-6.206420278526409
0.6360347507759142,-18.009156745086425,-15.868170823121641,-17.104589088158647,-6.117126484367698
0.639178487165894,-17.922086574439938,-15.802428865147187,-17.38980245689562,-6.02952832479887
0.6423222235558738,-17.83632849129547,-15.73807714597333,-17.68858482536147,-5.943633834603958
0.6454659599458535,-17.751886276625218,-15.675119530866631,-18.00192989155567,-5.859451342555065
0.6486096963358333,-17.66876399003446,-15.613560172976833,-18.33095396074423,-5.776989475940221
0.651753432725813,-17.586965973976312,-15.55340351763316,-18.676917176460407,-5.696257165376791
0.6548971691157928,-17.506496858249008,-15.494654306923936,-19.041249562965096,-5.617263649920728
0.6580409055057725,-17.427361564785596,-15.437317584569687,-19.425583250272375,-5.540018482482095
0.6611846418957523,-17.349565312747508,-15.381398701100988,-19.831792731531444,-5.464531535558253
0.6643283782857321,-17.273113623933526,-15.326903319352859,-20.262045682313804,-5.3908130072969405
0.6674721146757119,-17.198012328516754,-15.273837420288231,-20.718867852485168,-5.3188734279020355
0.6706158510656917,-17.12426757112319,-15.222207309164107,-21.205226983031615,-5.248723666395756
0.6737595874556714,-17.051885817265926,-15.172019622054542,-21.72464286092098,-5.180374937752062
0.6769033238456512,-16.980873860150357,-15.12328133274594,-22.281333935215407,-5.113838810416729
0.680047060235631,-16.911238827866534,-15.075999760020666,-22.88041611440608,-5.049127214230721
